EmployeeID,Department,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Total,RFM_Segment,R_Score_Department,F_Score_Department,M_Score_Department,RFM_Total_Department,RFM_Segment_Department
23,Research & Development,0.5,0.23333333333333334,0.05997893628225382,2,3,1,6,Don't Promote,2,3,1,6,Don't Promote
24,Research & Development,0.08333333333333333,0.13214285714285712,0.4169036334913112,1,1,4,6,Don't Promote,1,1,4,6,Don't Promote
25,Research & Development,1.0,0.2833333333333333,0.28983675618746707,4,3,4,11,Need Further Observation,4,3,4,11,Need Further Observation
26,Research & Development,1.0,0.2833333333333333,0.3048973143759874,4,3,4,11,Need Further Observation,4,3,4,11,Need Further Observation
27,Research & Development,0.25,0.7511904761904762,0.804739336492891,2,5,5,12,Need Further Observation,2,5,5,12,Need Further Observation
28,Sales,0.16666666666666666,0.2833333333333333,0.08931016324381254,1,3,2,6,Don't Promote,1,3,2,6,Don't Promote
29,Research & Development,1.0,0.1988095238095238,0.4909952606635071,4,2,5,11,Need Further Observation,4,2,5,11,Need Further Observation
30,Sales,0.5,0.22738095238095238,0.1810953133228015,2,2,3,7,Don't Promote,2,2,3,7,Don't Promote
31,Research & Development,1.0,0.11666666666666667,0.30779357556608744,4,1,4,9,Need Further Observation,4,1,4,9,Need Further Observation
32,Research & Development,1.0,0.23809523809523808,0.45434439178515007,4,3,4,11,Need Further Observation,4,3,4,11,Need Further Observation
33,Research & Development,0.5,0.15476190476190477,0.13596629805160612,2,1,2,5,Don't Promote,2,1,2,5,Don't Promote
34,Sales,0.125,0.21547619047619046,0.23149025803054238,1,2,3,6,Don't Promote,1,2,3,6,Don't Promote
35,Research & Development,0.3333333333333333,0.2369047619047619,0.19352290679304898,2,3,3,8,Don't Promote,2,3,3,8,Don't Promote
36,Research & Development,0.125,0.294047619047619,0.7781990521327015,1,4,5,10,Need Further Observation,1,4,5,10,Need Further Observation
37,Sales,0.5,0.31547619047619047,0.02659294365455503,2,4,1,7,Don't Promote,2,4,1,7,Don't Promote
38,Sales,0.2,0.20476190476190476,0.10252764612954186,1,2,2,5,Don't Promote,1,2,2,5,Don't Promote
39,Research & Development,1.0,0.1988095238095238,0.06982622432859399,4,2,1,7,Don't Promote,4,2,1,7,Don't Promote
40,Sales,0.14285714285714285,0.20238095238095236,0.21827277514481305,1,2,3,6,Don't Promote,1,2,3,6,Don't Promote
41,Research & Development,1.0,0.17738095238095236,0.3134807793575566,4,2,4,10,Need Further Observation,4,2,4,10,Need Further Observation
42,Research & Development,0.5,0.13809523809523808,0.24570826750921537,2,1,3,6,Don't Promote,2,1,3,6,Don't Promote
43,Research & Development,1.0,0.19404761904761902,0.07214323328067404,4,2,1,7,Don't Promote,4,2,1,7,Don't Promote
44,Sales,1.0,0.27619047619047615,0.14760400210637178,4,3,2,9,Need Further Observation,4,3,2,9,Need Further Observation
45,Research & Development,1.0,0.6952380952380952,0.19162717219589256,4,5,3,12,Need Further Observation,4,5,3,12,Need Further Observation
46,Research & Development,0.125,0.294047619047619,0.10147446024223275,1,4,2,7,Don't Promote,1,4,2,7,Don't Promote
47,Sales,0.25,0.8797619047619047,0.05771458662453923,2,5,1,8,Don't Promote,2,5,1,8,Don't Promote
48,Research & Development,1.0,0.7904761904761904,0.3985781990521327,4,5,4,13,Recommend for Promotion,4,5,4,13,Recommend for Promotion
49,Sales,0.2,0.8404761904761904,0.08936282253817798,1,5,2,8,Don't Promote,1,5,2,8,Don't Promote
50,Research & Development,1.0,0.20238095238095236,0.2830437072143233,4,2,4,10,Need Further Observation,4,2,4,10,Need Further Observation
51,Research & Development,0.5,0.1880952380952381,0.15581885202738283,2,2,2,6,Don't Promote,2,2,2,6,Don't Promote
52,Research & Development,1.0,0.23809523809523808,0.4685624012638231,4,3,5,12,Need Further Observation,4,3,4,11,Need Further Observation
53,Sales,0.5,0.7404761904761904,0.6432859399684044,2,5,5,12,Need Further Observation,2,5,5,12,Need Further Observation
54,Research & Development,0.1,0.15476190476190477,0.13328067403896787,1,1,2,4,Don't Promote,1,1,2,4,Don't Promote
55,Sales,0.3333333333333333,0.36904761904761907,0.09452343338599263,2,5,2,9,Need Further Observation,2,5,2,9,Need Further Observation
56,Research & Development,0.1111111111111111,0.19404761904761902,0.9680358083201686,1,2,5,8,Don't Promote,1,2,5,8,Don't Promote
57,Sales,0.08333333333333333,0.7511904761904762,0.9824117956819378,1,5,5,11,Need Further Observation,1,5,5,11,Need Further Observation
58,Research & Development,0.5,0.32619047619047614,0.07530279094260137,2,4,1,7,Don't Promote,2,4,1,7,Don't Promote
59,Research & Development,1.0,0.8511904761904762,0.3320168509741969,4,5,4,13,Recommend for Promotion,4,5,4,13,Recommend for Promotion
60,Research & Development,0.125,0.2583333333333333,0.19826224328593997,1,3,3,7,Don't Promote,1,3,3,7,Don't Promote
61,Research & Development,0.5,0.8011904761904762,0.15234333859926277,2,5,2,9,Need Further Observation,2,5,2,9,Need Further Observation
62,Research & Development,0.08333333333333333,0.25,0.08704581358609795,1,3,1,5,Don't Promote,1,3,1,5,Don't Promote
63,Research & Development,1.0,0.3107142857142857,0.09726171669299631,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
64,Sales,0.5,0.35,0.0037914691943127963,2,4,1,7,Don't Promote,2,4,1,7,Don't Promote
65,Research & Development,1.0,0.3047619047619048,0.0770405476566614,4,4,1,9,Need Further Observation,4,4,1,9,Need Further Observation
66,Research & Development,0.3333333333333333,0.2488095238095238,0.24560294892048445,2,3,3,8,Don't Promote,2,3,3,8,Don't Promote
67,Research & Development,0.5,0.3047619047619048,0.16787783043707213,2,4,2,8,Don't Promote,2,4,2,8,Don't Promote
68,Research & Development,0.1111111111111111,0.2309523809523809,0.4583464981569247,1,3,4,8,Don't Promote,1,2,4,7,Don't Promote
69,Research & Development,0.07142857142857142,0.3047619047619048,0.05545023696682464,1,4,1,6,Don't Promote,1,4,1,6,Don't Promote
70,Research & Development,1.0,0.2976190476190476,0.17245918904686677,4,4,3,11,Need Further Observation,4,4,2,10,Need Further Observation
71,Sales,1.0,0.2833333333333333,0.19899947340705634,4,3,3,10,Need Further Observation,4,3,3,10,Need Further Observation
72,Research & Development,0.5,0.9285714285714285,0.25787256450763557,2,5,4,11,Need Further Observation,2,5,4,11,Need Further Observation
73,Research & Development,1.0,0.2976190476190476,0.15150078988941548,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
74,Research & Development,0.5,0.2476190476190476,0.8327540810953133,2,3,5,10,Need Further Observation,2,3,5,10,Need Further Observation
75,Research & Development,1.0,0.244047619047619,0.10131648235913639,4,3,2,9,Need Further Observation,4,3,2,9,Need Further Observation
76,Research & Development,1.0,0.7619047619047619,0.2891521853607162,4,5,4,13,Recommend for Promotion,4,5,4,13,Recommend for Promotion
77,Sales,0.1,0.31547619047619047,0.8512374934175883,1,4,5,10,Need Further Observation,1,4,5,10,Need Further Observation
78,Research & Development,1.0,0.31547619047619047,0.21190100052659294,4,4,3,11,Need Further Observation,4,4,3,11,Need Further Observation
79,Research & Development,1.0,0.15476190476190477,0.06835176408636125,4,1,1,6,Don't Promote,4,1,1,6,Don't Promote
80,Human Resources,0.3333333333333333,0.9011904761904762,0.08309636650868879,2,5,1,8,Don't Promote,1,5,1,7,Don't Promote
81,Research & Development,0.5,0.17738095238095236,0.23686150605581885,2,2,3,7,Don't Promote,2,2,3,7,Don't Promote
82,Research & Development,1.0,0.19166666666666665,0.17819905213270143,4,2,3,9,Need Further Observation,4,2,3,9,Need Further Observation
83,Sales,1.0,0.31547619047619047,0.6497630331753554,4,4,5,13,Recommend for Promotion,4,4,5,13,Recommend for Promotion
84,Research & Development,0.3333333333333333,0.294047619047619,0.293522906793049,2,4,4,10,Need Further Observation,2,4,4,10,Need Further Observation
85,Research & Development,0.2,0.32619047619047614,0.3735650342285413,1,4,4,9,Need Further Observation,1,4,4,9,Need Further Observation
86,Research & Development,0.5,0.18333333333333332,0.1563454449710374,2,2,2,6,Don't Promote,2,2,2,6,Don't Promote
87,Sales,1.0,0.27142857142857146,0.0808320168509742,4,3,1,8,Don't Promote,4,3,1,8,Don't Promote
88,Research & Development,1.0,0.8452380952380952,0.23117430226434965,4,5,3,12,Need Further Observation,4,5,3,12,Need Further Observation
89,Research & Development,0.5,0.26904761904761904,0.23580832016850975,2,3,3,8,Don't Promote,2,3,3,8,Don't Promote
90,Sales,1.0,0.35357142857142854,0.3067403896787783,4,5,4,13,Recommend for Promotion,4,5,4,13,Recommend for Promotion
91,Research & Development,1.0,0.7678571428571429,0.004318062137967351,4,5,1,10,Need Further Observation,4,5,1,10,Need Further Observation
92,Sales,1.0,0.7845238095238095,0.24892048446550816,4,5,3,12,Need Further Observation,4,5,4,13,Recommend for Promotion
93,Sales,0.5,0.17738095238095236,0.06408636124275935,2,2,1,5,Don't Promote,2,1,1,4,Don't Promote
94,Research & Development,1.0,0.20476190476190476,0.24949973670352818,4,2,4,10,Need Further Observation,4,2,3,9,Need Further Observation
95,Sales,1.0,0.22023809523809523,0.4657714586624539,4,2,4,10,Need Further Observation,4,2,5,11,Need Further Observation
96,Research & Development,0.14285714285714285,0.14404761904761904,0.23475513428120062,1,1,3,5,Don't Promote,1,1,3,5,Don't Promote
97,Sales,0.3333333333333333,0.8404761904761904,0.230173775671406,2,5,3,10,Need Further Observation,2,5,3,10,Need Further Observation
98,Sales,0.125,0.27619047619047615,0.2181147972617167,1,3,3,7,Don't Promote,1,3,3,7,Don't Promote
99,Sales,1.0,0.3047619047619048,0.05918904686677198,4,4,1,9,Need Further Observation,4,4,1,9,Need Further Observation
100,Research & Development,0.5,0.12738095238095237,0.8881516587677725,2,1,5,8,Don't Promote,2,1,5,8,Don't Promote
101,Human Resources,1.0,0.7678571428571429,0.07493417588204318,4,5,1,10,Need Further Observation,4,5,1,10,Need Further Observation
102,Research & Development,0.5,0.3047619047619048,0.1981042654028436,2,4,3,9,Need Further Observation,2,4,3,9,Need Further Observation
103,Research & Development,0.5,0.175,0.9558715113217483,2,1,5,8,Don't Promote,2,1,5,8,Don't Promote
104,Research & Development,0.5,0.2654761904761905,0.21474460242232754,2,3,3,8,Don't Promote,2,3,3,8,Don't Promote
105,Research & Development,0.3333333333333333,0.18214285714285713,0.0976303317535545,2,2,2,6,Don't Promote,2,2,2,6,Don't Promote
106,Human Resources,1.0,0.7071428571428571,0.23970510795155345,4,5,3,12,Need Further Observation,4,5,4,13,Recommend for Promotion
107,Research & Development,1.0,0.2857142857142857,0.059768299104792,4,4,1,9,Need Further Observation,4,3,1,8,Don't Promote
108,Sales,1.0,0.23333333333333334,0.10826750921537652,4,3,2,9,Need Further Observation,4,3,2,9,Need Further Observation
109,Research & Development,0.125,0.25,0.09483938915218536,1,3,2,6,Don't Promote,1,3,2,6,Don't Promote
110,Research & Development,0.5,0.32619047619047614,0.4675618746708794,2,4,5,11,Need Further Observation,2,4,4,10,Need Further Observation
111,Research & Development,0.5,0.763095238095238,0.4012111637704055,2,5,4,11,Need Further Observation,2,5,4,11,Need Further Observation
112,Research & Development,0.3333333333333333,0.8226190476190476,0.09784096893101632,2,5,2,9,Need Further Observation,2,5,2,9,Need Further Observation
113,Human Resources,1.0,0.19404761904761902,0.22980516061084783,4,2,3,9,Need Further Observation,4,2,3,9,Need Further Observation
114,Research & Development,0.5,0.3607142857142857,0.2979462875197472,2,5,4,11,Need Further Observation,2,5,4,11,Need Further Observation
115,Research & Development,1.0,0.22619047619047616,0.21032122169562928,4,2,3,9,Need Further Observation,4,2,3,9,Need Further Observation
116,Sales,1.0,0.19404761904761902,0.07151132174828857,4,2,1,7,Don't Promote,4,2,1,7,Don't Promote
117,Research & Development,1.0,0.22738095238095238,0.09736703528172723,4,2,2,8,Don't Promote,4,2,2,8,Don't Promote
118,Sales,1.0,0.2654761904761905,0.22090573986308584,4,3,3,10,Need Further Observation,4,3,3,10,Need Further Observation
119,Research & Development,1.0,0.9011904761904762,0.16303317535545023,4,5,2,11,Need Further Observation,4,5,2,11,Need Further Observation
120,Sales,0.3333333333333333,0.244047619047619,0.4565560821484992,2,3,4,9,Need Further Observation,2,3,5,10,Need Further Observation
121,Research & Development,1.0,0.9333333333333333,0.24265402843601896,4,5,3,12,Need Further Observation,4,5,3,12,Need Further Observation
122,Sales,0.5,0.3047619047619048,0.4970510795155345,2,4,5,11,Need Further Observation,2,4,5,11,Need Further Observation
123,Research & Development,1.0,0.3083333333333333,0.09942074776197998,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
124,Research & Development,1.0,0.20476190476190476,0.2611374407582938,4,2,4,10,Need Further Observation,4,2,4,10,Need Further Observation
125,Sales,1.0,0.3083333333333333,0.34233807266982624,4,4,4,12,Need Further Observation,4,4,4,12,Need Further Observation
126,Research & Development,0.5,0.20238095238095236,0.10437072143233281,2,2,2,6,Don't Promote,2,2,2,6,Don't Promote
127,Research & Development,0.1,0.244047619047619,0.9808846761453397,1,3,5,9,Need Further Observation,1,3,5,9,Need Further Observation
128,Sales,1.0,0.30238095238095236,0.00631911532385466,4,4,1,9,Need Further Observation,4,4,1,9,Need Further Observation
129,Research & Development,0.07692307692307693,0.16547619047619047,0.6493944181147973,1,1,5,7,Don't Promote,1,1,5,7,Don't Promote
130,Research & Development,0.5,0.1488095238095238,0.17498683517640864,2,1,3,6,Don't Promote,2,1,3,6,Don't Promote
131,Research & Development,0.5,0.07738095238095238,0.527751448130595,2,1,5,8,Don't Promote,2,1,5,8,Don't Promote
132,Sales,1.0,0.11666666666666667,0.18067403896787784,4,1,3,8,Don't Promote,4,1,3,8,Don't Promote
133,Sales,0.25,0.18333333333333332,0.18999473407056344,2,2,3,7,Don't Promote,2,2,3,7,Don't Promote
134,Sales,1.0,0.1880952380952381,0.08625592417061612,4,2,1,7,Don't Promote,4,2,2,8,Don't Promote
135,Human Resources,0.5,0.6952380952380952,0.27983149025803056,2,5,4,11,Need Further Observation,2,5,4,11,Need Further Observation
136,Research & Development,0.5,0.8297619047619047,0.2458135860979463,3,5,3,11,Need Further Observation,2,5,3,10,Need Further Observation
137,Research & Development,0.25,0.10952380952380952,0.06203264876250658,2,1,1,4,Don't Promote,2,1,1,4,Don't Promote
138,Sales,0.5,0.2488095238095238,0.14423380726698262,3,3,2,8,Don't Promote,2,3,2,7,Don't Promote
139,Sales,1.0,0.3083333333333333,0.15629278567667193,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
140,Human Resources,0.5,0.4357142857142857,0.40147446024223277,3,5,4,12,Need Further Observation,2,5,5,12,Need Further Observation
141,Research & Development,0.09090909090909091,0.7845238095238095,0.05260663507109005,1,5,1,7,Don't Promote,1,5,1,7,Don't Promote
142,Research & Development,0.25,0.15476190476190477,0.18067403896787784,2,1,3,6,Don't Promote,2,1,3,6,Don't Promote
143,Research & Development,0.5,0.6964285714285714,0.10837282780410742,3,5,2,10,Need Further Observation,2,5,2,9,Need Further Observation
144,Research & Development,0.125,0.16547619047619047,0.22706687730384412,1,1,3,5,Don't Promote,1,1,3,5,Don't Promote
145,Sales,0.2,0.2976190476190476,0.23175355450236967,1,4,3,8,Don't Promote,1,4,3,8,Don't Promote
146,Research & Development,1.0,0.0988095238095238,0.09336492890995261,4,1,2,7,Don't Promote,4,1,2,7,Don't Promote
147,Research & Development,0.5,0.08809523809523809,0.5765139547130068,3,1,5,9,Need Further Observation,2,1,5,8,Don't Promote
148,Research & Development,1.0,0.15476190476190477,0.08694049499736703,4,1,1,6,Don't Promote,4,1,1,6,Don't Promote
149,Research & Development,1.0,0.7738095238095237,0.12459189046866773,4,5,2,11,Need Further Observation,4,5,2,11,Need Further Observation
150,Research & Development,1.0,0.31547619047619047,0.21532385466034756,4,4,3,11,Need Further Observation,4,4,3,11,Need Further Observation
151,Research & Development,0.5,0.2833333333333333,0.20373880989994733,3,3,3,9,Need Further Observation,3,3,3,9,Need Further Observation
152,Sales,1.0,0.1880952380952381,0.09626119010005266,4,2,2,8,Don't Promote,4,2,2,8,Don't Promote
153,Sales,1.0,0.8797619047619047,0.07356503422854134,4,5,1,10,Need Further Observation,4,5,1,10,Need Further Observation
154,Research & Development,0.08333333333333333,0.20833333333333331,0.06635071090047394,1,2,1,4,Don't Promote,1,2,1,4,Don't Promote
155,Sales,1.0,0.1988095238095238,0.1631911532385466,4,2,2,8,Don't Promote,4,2,3,9,Need Further Observation
156,Research & Development,1.0,0.3047619047619048,0.6422854133754607,4,4,5,13,Recommend for Promotion,4,4,5,13,Recommend for Promotion
157,Research & Development,0.5,0.18095238095238092,0.49568193786203263,3,2,5,10,Need Further Observation,3,2,5,10,Need Further Observation
158,Research & Development,0.5,0.8297619047619047,0.6706161137440758,3,5,5,13,Recommend for Promotion,3,5,5,13,Recommend for Promotion
159,Sales,1.0,0.2833333333333333,0.20526592943654556,4,3,3,10,Need Further Observation,4,3,3,10,Need Further Observation
160,Sales,0.5,0.24166666666666664,0.13022643496577146,3,3,2,8,Don't Promote,2,3,2,7,Don't Promote
161,Research & Development,1.0,0.9892857142857142,0.075144813059505,4,5,1,10,Need Further Observation,4,5,1,10,Need Further Observation
162,Research & Development,0.5,0.29166666666666663,0.0721958925750395,3,4,1,8,Don't Promote,3,4,1,8,Don't Promote
163,Research & Development,1.0,0.23333333333333334,0.9700895208004213,4,3,5,12,Need Further Observation,4,3,5,12,Need Further Observation
164,Research & Development,0.5,0.17023809523809522,0.04112690889942075,3,1,1,5,Don't Promote,3,1,1,5,Don't Promote
165,Research & Development,1.0,0.32619047619047614,0.34939441811479727,4,4,4,12,Need Further Observation,4,4,4,12,Need Further Observation
166,Research & Development,0.125,0.17619047619047618,0.21706161137440758,1,1,3,5,Don't Promote,1,1,3,5,Don't Promote
167,Research & Development,1.0,0.294047619047619,0.2789362822538178,4,4,4,12,Need Further Observation,4,4,4,12,Need Further Observation
168,Sales,0.0625,0.244047619047619,0.19894681411269088,1,3,3,7,Don't Promote,1,3,3,7,Don't Promote
169,Sales,0.14285714285714285,0.9011904761904762,0.9410742496050553,1,5,5,11,Need Further Observation,1,5,5,11,Need Further Observation
170,Research & Development,0.07142857142857142,0.7297619047619047,0.07003686150605581,1,5,1,7,Don't Promote,1,5,1,7,Don't Promote
171,Research & Development,1.0,0.2702380952380952,0.6614533965244865,4,3,5,12,Need Further Observation,4,3,5,12,Need Further Observation
172,Sales,1.0,0.7738095238095237,0.30031595576619274,4,5,4,13,Recommend for Promotion,4,5,4,13,Recommend for Promotion
173,Research & Development,0.2,0.244047619047619,0.23154291732490784,1,3,3,7,Don't Promote,1,3,3,7,Don't Promote
174,Research & Development,1.0,0.23333333333333334,0.41753554502369666,4,3,4,11,Need Further Observation,4,3,4,11,Need Further Observation
175,Sales,0.16666666666666666,0.3,0.07530279094260137,1,4,1,6,Don't Promote,1,4,1,6,Don't Promote
176,Research & Development,0.5,0.29166666666666663,0.41221695629278565,3,4,4,11,Need Further Observation,3,4,4,11,Need Further Observation
177,Research & Development,1.0,0.21547619047619046,0.22822538177988416,4,2,3,9,Need Further Observation,4,2,3,9,Need Further Observation
178,Research & Development,0.125,0.7845238095238095,0.30115850447604003,1,5,4,10,Need Further Observation,1,5,4,10,Need Further Observation
179,Sales,0.5,0.9333333333333333,0.2971563981042654,3,5,4,12,Need Further Observation,2,5,4,11,Need Further Observation
180,Research & Development,0.5,0.19404761904761902,0.2022643496577146,3,2,3,8,Don't Promote,3,2,3,8,Don't Promote
181,Research & Development,1.0,0.7285714285714285,0.0947867298578199,4,5,2,11,Need Further Observation,4,5,2,11,Need Further Observation
182,Research & Development,1.0,0.2095238095238095,0.24644549763033174,4,2,3,9,Need Further Observation,4,2,3,9,Need Further Observation
183,Sales,1.0,0.8178571428571428,0.052238020010531856,4,5,1,10,Need Further Observation,4,5,1,10,Need Further Observation
184,Research & Development,0.3333333333333333,0.2095238095238095,0.10363349131121644,2,2,2,6,Don't Promote,2,2,2,6,Don't Promote
185,Research & Development,0.1,0.2833333333333333,0.1588204318062138,1,3,2,6,Don't Promote,1,3,2,6,Don't Promote
186,Research & Development,0.5,0.25476190476190474,0.14618220115850447,3,3,2,8,Don't Promote,3,3,2,8,Don't Promote
187,Research & Development,0.14285714285714285,0.31547619047619047,0.5184307530279094,1,4,5,10,Need Further Observation,1,4,5,10,Need Further Observation
188,Research & Development,0.125,0.18333333333333332,0.5804107424960505,1,2,5,8,Don't Promote,1,2,5,8,Don't Promote
189,Research & Development,0.5,0.28095238095238095,0.47008952080042127,3,3,5,11,Need Further Observation,3,3,4,10,Need Further Observation
190,Research & Development,0.14285714285714285,0.24166666666666664,0.10305423907319641,1,3,2,6,Don't Promote,1,3,2,6,Don't Promote
191,Research & Development,0.16666666666666666,0.2654761904761905,0.0822538177988415,1,3,1,5,Don't Promote,1,3,1,5,Don't Promote
192,Research & Development,1.0,0.2869047619047619,0.4729857819905213,4,4,5,13,Recommend for Promotion,4,3,4,11,Need Further Observation
193,Research & Development,1.0,0.23809523809523808,0.2703001579778831,4,3,4,11,Need Further Observation,4,3,4,11,Need Further Observation
194,Research & Development,0.16666666666666666,0.16547619047619047,0.23070036861506055,1,1,3,5,Don't Promote,1,1,3,5,Don't Promote
195,Research & Development,0.25,0.8119047619047619,0.17877830437072142,2,5,3,10,Need Further Observation,2,5,3,10,Need Further Observation
196,Research & Development,0.5,0.244047619047619,0.2624539231174302,3,3,4,10,Need Further Observation,3,3,4,10,Need Further Observation
197,Research & Development,0.5,0.21666666666666667,0.21700895208004212,3,2,3,8,Don't Promote,3,2,3,8,Don't Promote
198,Research & Development,1.0,0.2869047619047619,0.0569246972090574,4,4,1,9,Need Further Observation,4,3,1,8,Don't Promote
199,Research & Development,1.0,0.31547619047619047,0.10005265929436545,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
200,Research & Development,1.0,0.325,0.1294892048446551,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
201,Research & Development,1.0,0.15238095238095237,0.10842548709847288,4,1,2,7,Don't Promote,4,1,2,7,Don't Promote
202,Research & Development,1.0,0.2095238095238095,0.08746708794102159,4,2,1,7,Don't Promote,4,2,1,7,Don't Promote
203,Research & Development,1.0,0.2309523809523809,0.08867825171142707,4,3,1,8,Don't Promote,4,3,1,8,Don't Promote
204,Research & Development,1.0,0.2095238095238095,0.4484992101105845,4,2,4,10,Need Further Observation,4,2,4,10,Need Further Observation
205,Research & Development,0.16666666666666666,0.30238095238095236,0.22264349657714586,1,4,3,8,Don't Promote,1,4,3,8,Don't Promote
206,Sales,1.0,0.7678571428571429,0.07461822011585045,4,5,1,10,Need Further Observation,4,5,1,10,Need Further Observation
207,Research & Development,0.5,0.33690476190476193,0.16766719325961033,3,4,2,9,Need Further Observation,3,4,2,9,Need Further Observation
208,Research & Development,0.5,0.25476190476190474,0.10015797788309637,3,3,2,8,Don't Promote,3,3,2,8,Don't Promote
209,Research & Development,0.08333333333333333,0.16547619047619047,0.08699315429173249,1,1,1,3,Don't Promote,1,1,1,3,Don't Promote
210,Research & Development,0.125,0.2369047619047619,0.053659820958399156,1,3,1,5,Don't Promote,1,3,1,5,Don't Promote
211,Sales,0.14285714285714285,0.13333333333333333,0.4724065297525013,1,1,5,7,Don't Promote,1,1,5,7,Don't Promote
212,Research & Development,0.5,0.7845238095238095,0.12053712480252765,3,5,2,10,Need Further Observation,3,5,2,10,Need Further Observation
213,Sales,0.3333333333333333,0.2488095238095238,0.1014218009478673,2,3,2,7,Don't Promote,2,3,2,7,Don't Promote
214,Research & Development,1.0,0.2869047619047619,0.7592417061611374,4,4,5,13,Recommend for Promotion,4,3,5,12,Need Further Observation
215,Research & Development,0.2,0.18333333333333332,0.1545550289626119,1,2,2,5,Don't Promote,1,2,2,5,Don't Promote
216,Sales,1.0,0.175,0.15808320168509743,4,1,2,7,Don't Promote,4,1,3,8,Don't Promote
217,Sales,0.5,0.2595238095238095,0.1262769878883623,3,3,2,8,Don't Promote,2,3,2,7,Don't Promote
218,Research & Development,0.5,0.21547619047619046,0.5784623486045287,3,2,5,10,Need Further Observation,3,2,5,10,Need Further Observation
219,Sales,1.0,0.06071428571428571,0.011743022643496578,4,1,1,6,Don't Promote,4,1,1,6,Don't Promote
220,Sales,0.09090909090909091,0.21547619047619046,0.10273828330700369,1,2,2,5,Don't Promote,1,2,2,5,Don't Promote
221,Research & Development,1.0,0.22023809523809523,0.9523433385992628,4,2,5,11,Need Further Observation,4,2,5,11,Need Further Observation
222,Research & Development,0.5,0.8404761904761904,0.15323854660347552,3,5,2,10,Need Further Observation,3,5,2,10,Need Further Observation
223,Research & Development,1.0,0.16547619047619047,0.3062664560294892,4,1,4,9,Need Further Observation,4,1,4,9,Need Further Observation
224,Sales,0.5,0.294047619047619,0.4865192206424434,3,4,5,12,Need Further Observation,2,4,5,11,Need Further Observation
225,Research & Development,0.5,0.07738095238095238,0.9446024223275408,3,1,5,9,Need Further Observation,3,1,5,9,Need Further Observation
