Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears_Edu_Company,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgWorkingHours,AbsentDays,OvertimeFlag
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,5.0,1.0,1.0,3.0,3,4,10.977123430962344,10,1
37,No,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,17.0,4.0,4.0,3.0,3,3,7.604444444444445,13,0
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,29,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,19.0,4.0,3.0,1.0,2,3,10.97758573388203,6,1
38,No,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,10.0,4.0,4.0,3.0,2,3,6.8312753623188405,19,0
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,31,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,5.0,1.0,2.0,3.0,2,3,10.10940826330532,11,1
28,No,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,5.0,4.0,4.0,3.0,2,3,6.709665977961433,7,0
49,No,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,22.0,3.0,1.0,3.0,3,3,10.518214624881292,15,1
36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,10.0,3.0,2.0,3.0,3,3,6.182887517146776,6,0
31,No,Travel_Frequently,Research & Development,9,4,Medical,1,35,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,2.0,4.0,2.0,2.0,3,3,6.586388888888888,9,0
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,36,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,8.0,4.0,4.0,3.0,3,3,10.272241379310344,17,1
37,No,Travel_Frequently,Sales,9,1,Marketing,1,37,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,4.0,2.0,4.0,2.0,3,3,9.98273301193756,7,1
42,No,Travel_Frequently,Sales,2,2,Marketing,1,38,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,23.0,3.0,2.0,4.0,3,3,5.979567632850242,19,0
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,39,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,0.0,3.0,3.0,3.0,2,3,6.775967939304944,22,0
35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,12.0,3.0,2.0,2.0,2,3,7.690160390516039,10,0
36,No,Travel_Frequently,Research & Development,8,3,Other,1,41,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,4.0,3.0,3.0,3.0,2,3,7.204732468123861,5,0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,13.0,4.0,2.0,3.0,2,3,7.5947695035461,14,0
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,22.0,4.0,2.0,3.0,3,3,6.952642332415059,7,0
18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,0.0,4.0,3.0,3.0,3,3,7.0088784722222215,9,0
28,No,Travel_Rarely,Research & Development,9,3,Medical,1,45,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,9.0,2.0,1.0,3.0,2,4,7.201573315118397,5,0
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,10.0,2.0,4.0,2.0,3,3,7.1728749999999994,9,0
39,No,Travel_Rarely,Sales,5,4,Marketing,1,47,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,19.0,3.0,4.0,2.0,3,4,7.636801418439716,14,0
36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,11.0,2.0,2.0,3.0,3,4,7.83278129395218,12,0
32,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,13.0,4.0,3.0,2.0,3,4,6.974765051395007,22,0
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,19.0,1.0,2.0,3.0,2,3,6.906424220272905,21,0
58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,12.0,4.0,3.0,3.0,2,3,10.895463728191002,7,1
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,6.0,3.0,4.0,3.0,2,3,9.12566572902016,12,1
31,No,Travel_Rarely,Sales,7,4,Marketing,1,53,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,9.0,1.0,1.0,3.0,3,4,6.831459786145978,10,0
45,No,Travel_Frequently,Research & Development,3,1,Medical,1,54,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,24.0,1.0,1.0,3.0,3,3,7.3160499058380415,13,0
31,No,Travel_Rarely,Sales,16,4,Marketing,1,55,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,3.0,3.0,4.0,1.0,3,3,8.610798041894355,5,0
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,12.0,4.0,2.0,3.0,3,3,6.7848452883263,12,0
39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,21.0,3.0,1.0,3.0,3,4,10.98609977324263,4,1
43,No,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,9.0,3.0,4.0,3.0,3,3,7.68658467939305,22,0
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,25.0,3.0,3.0,3.0,3,4,9.948856881572931,6,1
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,60,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,11.0,3.0,2.0,2.0,3,3,7.9055276615527665,10,0
27,No,Travel_Rarely,Research & Development,15,4,Medical,1,61,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,4.0,3.0,2.0,2.0,3,4,10.67241461748634,5,1
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,13.0,3.0,2.0,3.0,4,3,10.496171548117156,10,1
27,No,Travel_Rarely,Research & Development,13,2,Medical,1,63,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,5.0,4.0,3.0,3.0,4,3,10.069261664261665,18,1
31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,13.0,4.0,4.0,3.0,4,3,6.607014174668495,6,0
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,10.0,1.0,4.0,2.0,3,3,7.497914908579466,12,0
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,66,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,5.0,1.0,4.0,2.0,2,3,10.727235717498877,2,1
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,11.0,4.0,4.0,3.0,3,3,6.184816810344828,17,0
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,10.0,3.0,3.0,3.0,2,3,6.609300048947627,22,0
39,No,Travel_Frequently,Research & Development,19,4,Medical,1,69,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,21.0,3.0,4.0,3.0,3,3,6.07624634502924,21,0
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,70,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,12.0,4.0,3.0,2.0,3,3,9.971745709123757,3,1
33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,9.0,2.0,4.0,2.0,3,3,7.42145202020202,7,0
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,21.0,4.0,3.0,3.0,4,4,6.493810013717422,6,0
43,No,Travel_Frequently,Research & Development,14,3,Medical,1,73,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,9.0,3.0,3.0,4.0,3,3,6.299470449172577,14,0
27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,6.0,3.0,2.0,3.0,3,3,9.316973304473304,18,1
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,20.0,4.0,3.0,2.0,3,3,6.097862787356322,17,0
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,10.0,3.0,1.0,2.0,3,4,7.217327264239029,11,0
45,No,Travel_Rarely,Sales,3,1,Marketing,1,77,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,12.0,4.0,4.0,3.0,3,3,7.100070018365472,7,0
40,No,Travel_Rarely,Research & Development,2,4,Other,1,78,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,6.0,2.0,4.0,2.0,3,3,9.914107744107746,18,1
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,79,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,7.0,2.0,1.0,2.0,3,3,10.477788647342997,19,1
29,No,Travel_Rarely,Human Resources,8,3,Medical,1,80,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,4.0,2.0,4.0,3.0,3,4,6.906938633193863,10,0
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,10.0,4.0,3.0,3.0,2,3,7.589092432950192,17,0
27,No,Travel_Rarely,Research & Development,11,2,Medical,1,82,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,8.0,2.0,2.0,3.0,2,3,6.079724499089253,5,0
37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,8.0,4.0,4.0,2.0,3,3,6.001112288135593,13,0
38,No,Travel_Rarely,Research & Development,28,4,Medical,1,84,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,12.0,3.0,4.0,3.0,3,3,8.983123278236915,7,0
31,No,Travel_Rarely,Research & Development,6,3,Medical,1,85,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,11.0,3.0,4.0,3.0,3,3,10.426184640522875,11,1
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,7.0,4.0,2.0,3.0,3,3,8.387526183970857,5,0
35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,17.0,3.0,2.0,3.0,4,3,7.9120386266094425,16,0
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,4.0,3.0,4.0,2.0,2,4,7.105291842475387,12,0
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,8.0,4.0,2.0,3.0,3,3,9.688633193863318,10,1
47,No,Travel_Frequently,Sales,1,3,Medical,1,90,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,5.0,2.0,3.0,3.0,4,3,7.770347512784752,10,0
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,16.0,1.0,4.0,3.0,1,4,6.284280356305673,12,0
29,No,Non-Travel,Sales,22,4,Marketing,1,92,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,4.0,4.0,3.0,2.0,2,4,6.306108726752504,16,0
42,No,Travel_Rarely,Sales,7,4,Medical,1,93,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,4.0,3.0,3.0,3.0,2,3,8.831585038986354,21,0
32,No,Travel_Rarely,Research & Development,2,3,Medical,1,94,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,8.0,3.0,2.0,3.0,3,3,7.722377344877344,18,0
48,No,Travel_Rarely,Sales,13,4,Medical,1,95,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,15.0,1.0,3.0,1.0,2,3,7.317479732951835,16,0
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,13.0,3.0,1.0,3.0,3,3,10.798262483130904,2,1
30,No,Non-Travel,Sales,25,4,Other,1,97,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,4.0,4.0,3.0,4.0,3,4,10.40136394557823,4,1
26,No,Travel_Rarely,Sales,28,3,Medical,1,98,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,8.0,3.0,3.0,3.0,3,3,5.994326703246456,6,0
42,No,Travel_Rarely,Sales,2,2,Medical,1,99,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,14.0,1.0,4.0,3.0,3,3,6.113110181311018,10,0
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,100,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,3.0,1.0,2.0,3.0,2,3,8.133578096539162,5,0
36,No,Non-Travel,Human Resources,28,3,Human Resources,1,101,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,7.0,4.0,4.0,3.0,1,4,7.306164990421457,17,0
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,102,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,16.0,1.0,4.0,3.0,3,3,7.105030345471522,11,0
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,103,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,15.0,4.0,3.0,3.0,1,3,6.327729314420803,14,0
40,No,Travel_Rarely,Research & Development,8,3,Other,1,104,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,10.0,4.0,3.0,3.0,3,3,8.128512160228897,16,0
21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,105,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,3.0,1.0,4.0,2.0,1,3,7.98643255701116,20,0
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,106,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,1.0,4.0,3.0,3.0,1,4,10.509096921596921,18,1
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,107,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,17.0,3.0,1.0,3.0,4,3,7.9932840307840305,18,0
46,No,Non-Travel,Sales,2,4,Marketing,1,108,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,7.0,3.0,3.0,4.0,3,3,6.103653752436647,21,0
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,109,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,8.0,1.0,2.0,3.0,4,3,7.587908917501192,16,0
50,No,Travel_Rarely,Research & Development,9,3,Medical,1,110,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,20.0,4.0,4.0,3.0,3,3,6.890321256038647,19,0
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,111,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,8.0,3.0,3.0,3.0,2,4,9.295999525166192,15,1
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,112,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,3.0,3.0,2.0,3.0,3,4,10.806078364950315,3,1
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,113,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,1.0,3.0,2.0,3.0,3,3,5.995219806763284,19,0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,114,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,6.0,4.0,4.0,3.0,4,3,7.788609977324263,4,0
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,115,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,10.0,3.0,2.0,3.0,3,3,7.717707156308851,13,0
27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,116,Male,1,Sales Executive,Divorced,23670,1.0,Y,12,8,1,5.0,2,5,0,4,5.0,4.0,2.0,3.0,3,3,6.189450379867046,15,0
28,No,Travel_Rarely,Research & Development,2,2,Medical,1,117,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,7.0,2.0,4.0,3.0,2,3,7.120614224137931,17,0
49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,118,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,26.0,2.0,3.0,3.0,3,3,7.825193287037037,9,0
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,119,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,18.0,3.0,4.0,2.0,3,4,7.619401803118908,21,0
36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,120,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,6.0,4.0,3.0,3.0,3,3,6.002463200379866,15,0
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,121,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,9.0,1.0,4.0,2.0,3,4,9.113126477541371,14,1
55,No,Travel_Rarely,Sales,26,3,Marketing,1,122,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2,30.0,3.0,4.0,3.0,3,3,8.684139595103577,13,0
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,123,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3,5.0,4.0,3.0,4.0,3,3,9.993131642512079,19,1
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,124,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0,1.0,3.0,2.0,3.0,3,3,6.900539923039923,18,0
